sp_elev,sp,elevation,year,month,monthly_pet,monthly_tmed,monthly_prec
halepensis_medium,halepensis,medium,2010,11,22.71305698962131,8.45333326657613,43.000000424683094
halepensis_medium,halepensis,medium,2010,12,16.97014325291213,6.967741943174793,108.20000159740448
halepensis_medium,halepensis,medium,2011,1,12.8666053331439,5.616129007070295,10.30000002682209
halepensis_medium,halepensis,medium,2011,2,16.004748895283637,6.625000038317272,11.199999928474426
halepensis_medium,halepensis,medium,2011,3,21.875375389389987,7.183871026962034,55.1000010073185
halepensis_medium,halepensis,medium,2011,4,52.83070441025696,12.843333339691162,12.69999996572733
halepensis_medium,halepensis,medium,2011,5,72.5577703133834,14.8967742612285,48.10000043362379
halepensis_medium,halepensis,medium,2011,6,107.37039924535314,19.61666669845581,5.700000107288361
halepensis_medium,halepensis,medium,2011,7,136.2194093399654,22.94838720752347,0.30000001192092896
halepensis_medium,halepensis,medium,2011,8,135.31029121607432,23.893548411707723,0
halepensis_medium,halepensis,medium,2011,9,89.57702007613297,19.473333168029782,5.600000083446503
halepensis_medium,halepensis,medium,2011,10,56.04495489826809,14.651612927836757,7.900000035762787
halepensis_medium,halepensis,medium,2011,11,25.829798790240577,9.266666682561238,46.19999936968088
halepensis_medium,halepensis,medium,2011,12,18.484399569560445,7.4064515790631695,0.800000011920929
halepensis_medium,halepensis,medium,2012,1,15.046929578104551,6.280645208974039,18.5999995470047
halepensis_medium,halepensis,medium,2012,2,7.090718018984021,3.7034482745261026,0.10000000149011612
halepensis_medium,halepensis,medium,2012,3,28.081628130810255,8.587096814186342,27.00000000745058
halepensis_medium,halepensis,medium,2012,4,39.26617124819954,10.390000041325887,7.29999990016222
halepensis_medium,halepensis,medium,2012,5,88.54596556119348,17.17419356684531,2.1999999582767487
halepensis_medium,halepensis,medium,2012,6,132.2829835777043,22.77000001271566,1.600000023841858
halepensis_medium,halepensis,medium,2012,7,141.93535813112206,23.63225801529423,0
halepensis_medium,halepensis,medium,2012,8,150.10675856934438,25.732258150654456,0.30000001192092896
halepensis_medium,halepensis,medium,2012,9,84.97545184590868,18.753333377838135,59.50000154972077
halepensis_medium,halepensis,medium,2012,10,52.18061359416575,13.922580580557549,30.3999994546175
halepensis_medium,halepensis,medium,2012,11,23.216108890923124,8.586666723092398,64.90000055730343
halepensis_medium,halepensis,medium,2012,12,20.011901084769235,7.838709677419355,0
halepensis_medium,halepensis,medium,2013,1,16.516210937792245,6.7129032111937,20.49999960511923
halepensis_medium,halepensis,medium,2013,2,11.021057963645069,5.075000020010131,15.600000232458116
halepensis_medium,halepensis,medium,2013,3,25.690123290721072,8.058064506899926,49.09999963641167
halepensis_medium,halepensis,medium,2013,4,44.12657576593612,11.293333371480308,11.300000011920927
halepensis_medium,halepensis,medium,2013,5,62.11980268036753,13.332258116814398,15.5
halepensis_medium,halepensis,medium,2013,6,99.8626692726853,18.626666673024495,0
halepensis_medium,halepensis,medium,2013,7,134.4803809583429,22.738709603586504,0
halepensis_medium,halepensis,medium,2013,8,126.119776599317,22.722580632855816,5.800000190734863
halepensis_medium,halepensis,medium,2013,9,80.86057838296978,18.100000031789143,10.999999977648258
halepensis_medium,halepensis,medium,2013,10,66.04076557934381,16.47419354223436,0.10000000149011612
halepensis_medium,halepensis,medium,2013,11,22.575270886031245,8.41666657924652,23.100000381469727
halepensis_medium,halepensis,medium,2013,12,13.837751715111873,6.022580646699475,24.199999809265137
halepensis_medium,halepensis,medium,2014,1,18.035220780449546,7.148387101388747,4.80000002682209
halepensis_medium,halepensis,medium,2014,2,16.636265463256983,6.810714278902326,13.300000213086603
halepensis_medium,halepensis,medium,2014,3,27.272839084055125,8.409677443965789,11.30000014603138
halepensis_medium,halepensis,medium,2014,4,60.58433394429637,14.163333479563397,5.799999907612801
halepensis_medium,halepensis,medium,2014,5,76.1455190094165,15.419354838709678,21.40000019222498
halepensis_medium,halepensis,medium,2014,6,107.01302485594202,19.56999994913737,25.000000052154064
halepensis_medium,halepensis,medium,2014,7,134.98805197942195,22.79999997538905,0
halepensis_medium,halepensis,medium,2014,8,131.8200333160997,23.45161296475318,0
halepensis_medium,halepensis,medium,2014,9,91.96847148075756,19.843333307902014,22.600000247359276
halepensis_medium,halepensis,medium,2014,10,65.1194464503224,16.309677400896625,7.399999819695949
halepensis_medium,halepensis,medium,2014,11,28.60166780182626,9.96666661898295,25.500000298023224
halepensis_medium,halepensis,medium,2014,12,14.485238413152231,6.222580703996843,5.200000204145908
halepensis_medium,halepensis,medium,2015,1,15.612450102636204,6.448387017173152,4.100000001490116
halepensis_medium,halepensis,medium,2015,2,9.179445918317503,4.453571433999708,24.699999943375587
halepensis_medium,halepensis,medium,2015,3,33.149859450269886,9.66774196009482,28.59999992698431
halepensis_medium,halepensis,medium,2015,4,48.4133850484613,12.066666666666666,30.100000098347664
